,d = 5,d = 7.5,d = 10
PPW-AVG,0.945 $\pm$ 0.005,0.958 $\pm$ 0.003,0.95 $\pm$ 0.004
PPW-EMA,0.71 $\pm$ 0.046,0.76 $\pm$ 0.026,0.784 $\pm$ 0.033
RRM Logistic Regression,0.518 $\pm$ 0.026,0.678 $\pm$ 0.017,0.764 $\pm$ 0.012
RGD Logistic Regression,0.507 $\pm$ 0.025,0.68 $\pm$ 0.019,0.77 $\pm$ 0.012
RRM with Neural Networks,0.004 $\pm$ 0.037,0.016 $\pm$ 0.052,0.014 $\pm$ 0.056
Two-Stage Approach,0.05 $\pm$ 0.031,0.075 $\pm$ 0.031,0.097 $\pm$ 0.033
PerGD,0.66 $\pm$ 0.028,0.764 $\pm$ 0.023,0.815 $\pm$ 0.016
