,d = 0.1,d = 0.3,d = 0.5,d = 0.7
PPW-AVG,0.978 $\pm$ 0.003,0.981 $\pm$ 0.003,0.981 $\pm$ 0.003,0.981 $\pm$ 0.003
PPW-EMA,0.98 $\pm$ 0.003,0.98 $\pm$ 0.003,0.98 $\pm$ 0.003,0.979 $\pm$ 0.003
RRM Logistic Regression,0.435 $\pm$ 0.019,0.388 $\pm$ 0.02,0.411 $\pm$ 0.019,0.437 $\pm$ 0.02
RGD Logistic Regression,0.429 $\pm$ 0.016,0.39 $\pm$ 0.018,0.41 $\pm$ 0.017,0.434 $\pm$ 0.02
RRM with Neural Networks,0.97 $\pm$ 0.009,0.967 $\pm$ 0.007,0.959 $\pm$ 0.01,0.937 $\pm$ 0.018
Two-Stage Approach,0.426 $\pm$ 0.008,0.34 $\pm$ 0.005,0.34 $\pm$ 0.004,0.378 $\pm$ 0.004
PerGD,0.427 $\pm$ 0.008,0.341 $\pm$ 0.005,0.339 $\pm$ 0.004,0.378 $\pm$ 0.004
