,d = 10,d = 20,d = 30,d = 40,d = 50
PPW-AVG,0.999 $\pm$ 0.001,0.999 $\pm$ 0.001,0.998 $\pm$ 0.0,0.998 $\pm$ 0.0,0.997 $\pm$ 0.001
PPW-EMA,0.984 $\pm$ 0.007,0.982 $\pm$ 0.009,0.978 $\pm$ 0.013,0.976 $\pm$ 0.013,0.976 $\pm$ 0.012
RRM Logistic Regression,0.992 $\pm$ 0.003,0.997 $\pm$ 0.002,0.863 $\pm$ 0.061,0.763 $\pm$ 0.066,0.86 $\pm$ 0.049
RGD Logistic Regression,0.935 $\pm$ 0.027,0.875 $\pm$ 0.048,0.92 $\pm$ 0.01,0.916 $\pm$ 0.01,0.916 $\pm$ 0.01
RRM with Neural Networks,0.014 $\pm$ 0.037,0.018 $\pm$ 0.036,0.011 $\pm$ 0.034,0.004 $\pm$ 0.035,0.019 $\pm$ 0.039
Two-Stage Approach,0.917 $\pm$ 0.013,0.916 $\pm$ 0.015,0.915 $\pm$ 0.014,0.915 $\pm$ 0.014,0.917 $\pm$ 0.014
PerGD,1.0 $\pm$ 0.0,0.999 $\pm$ 0.001,0.966 $\pm$ 0.007,0.928 $\pm$ 0.01,0.917 $\pm$ 0.01
DFO,1.0 $\pm$ 0.0,0.998 $\pm$ 0.004,0.998 $\pm$ 0.004,0.999 $\pm$ 0.003,0.999 $\pm$ 0.002
